Landscape;Category;Transect_type;Aglais urticae;Anthocharis cardamines;Aphantopus hyperantus;Argynnis adippe;Argynnis aglaja;Argynnis niobe;Argynnis paphia;Aricia artaxerxes;Boloria euphrosyne;Boloria selene;Brenthis ino;Callophrys rubi;Carterocephalus silvicola;Celastrina argiolus;Coenonympha arcania;Coenonympha pamphilus;Cupido minimus;Erebia ligea;Erynnis tages;Glaucopsyche alexis;Gonepteryx rhamni;Hesperia comma;Inachis io;Issoria lathonia;Lasiommata maera;Lasiommata megera;Lasiommata petropolitana;Leptidea sinapis/reali;Limenitis populi;Lycaena hippothoe;Lycaena phlaeas;Maniola jurtina;Melitaea athalia;Nymphalis antiopa;Ochlodes sylvanus;Pararge aegeria;Pieris brassicae;Pieris napi;Pieris rapae;Plebejus argus;Plebejus idas;Plebejus optilete;Polygonia c-album;Polyommatus amandus;Polyommatus icarus;Polyommatus semiargus;Thecla betulae;Thymelicus lineola;Vanessa atalanta;Vanessa cardui;Zygaena filipendulae;Zygaena lonicerae;Zygaena viciae
2844;PL.HRD;Between fields;1;0;27;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2844;PL.HRD;Big road;0;0;10;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
2844;PL.HRD;Pasture;1;0;13;0;7;0;0;0;1;2;0;2;0;0;4;2;0;0;0;0;3;0;3;0;0;0;0;0;0;3;2;8;0;0;1;0;1;0;0;1;0;0;0;0;1;2;0;1;0;0;0;0;0
2844;PL.HRD;Powerline;1;0;22;1;3;0;0;0;0;1;0;0;0;0;5;2;0;0;0;0;3;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
2844;PL.HRD;Small road;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;2;0;0;0;6;0;0;1;0;0;0;0;0;0;2;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
3897;PL.HRD;Big road;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3897;PL.HRD;Pasture;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
3897;PL.HRD;Powerline;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0
3897;PL.HRD;Small road;0;0;23;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
4091;PL.HRD;Between fields;2;0;14;1;1;0;0;0;0;3;0;0;0;0;5;0;0;0;0;0;5;0;17;0;0;0;0;2;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
4091;PL.HRD;Big road;0;0;23;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4091;PL.HRD;Pasture;0;0;11;0;0;0;0;0;0;0;0;0;0;0;16;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
4091;PL.HRD;Powerline;0;0;29;0;4;0;12;0;0;5;8;0;0;0;5;2;0;0;0;0;19;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;3;0;1;0;11;0;0;0;0;0
4091;PL.HRD;Small road;0;0;5;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
4319;NoPL.HRD;Between fields;0;0;12;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;4;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
4319;NoPL.HRD;Big road;0;0;10;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;7;0;0;0;0;0;1;0;0;0;6;0;0;0;0;0
4319;NoPL.HRD;Pasture;0;0;5;0;5;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
4319;NoPL.HRD;Small road;3;0;12;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;12;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0
5041;NoPL.HRD;Between fields;0;0;12;0;0;0;1;0;0;0;1;0;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;0;0;1;0;0;2;0;1;0;4;0;0;0;0;0
5041;NoPL.HRD;Big road;1;0;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0
5041;NoPL.HRD;Pasture;0;2;16;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;2;0;3;0;0;0;0;0
5041;NoPL.HRD;Small road;1;0;8;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5166;NoPL.LRD;Between fields;8;0;18;0;1;0;0;1;0;0;0;0;0;0;5;0;0;0;0;0;8;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;5;0;3;0;0;0;0;0
5166;NoPL.LRD;Big road;0;0;9;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;2;0;1;0;0;0;0;0
5166;NoPL.LRD;Pasture;1;0;7;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
5166;NoPL.LRD;Small road;1;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;0;0;1;0;0;2;0;0;0;3;0;0;0;0;0
5561;PL.LRD;Big road;1;0;9;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0
