Landscape;Category;Transect_type;Species;Indiv
2014;PL.HRD;Pasture;Coenonympha arcania;4
2014;PL.HRD;Pasture;Coenonympha pamphilus;1
2014;PL.HRD;Pasture;Ochlodes sylvanus;1
2014;PL.HRD;Pasture;Pieris napi;1
2014;PL.HRD;Pasture;Thymelicus lineola;4
2014;PL.HRD;Powerline;Aphantopus hyperantus;3
2014;PL.HRD;Powerline;Argynnis aglaja;1
2014;PL.HRD;Powerline;Coenonympha arcania;1
2014;PL.HRD;Powerline;Gonepteryx rhamni;6
2014;PL.HRD;Powerline;Inachis io;2
2014;PL.HRD;Powerline;Zygaena filipendulae;1
2014;PL.HRD;Small road;Aphantopus hyperantus;2
2014;PL.HRD;Small road;Inachis io;1
2014;PL.HRD;Small road;Lasiommata maera;1
2014;PL.HRD;Small road;Pieris napi;2
2014;PL.HRD;Small road;Thymelicus lineola;1
2156;NoPL.HRD;Big road;Aphantopus hyperantus;3
2156;NoPL.HRD;Big road;Argynnis aglaja;1
2156;NoPL.HRD;Big road;Coenonympha arcania;2
2156;NoPL.HRD;Big road;Maniola jurtina;1
2156;NoPL.HRD;Big road;Polyommatus amandus;1
2156;NoPL.HRD;Big road;Thymelicus lineola;1
2156;NoPL.HRD;Pasture;Aphantopus hyperantus;7
2156;NoPL.HRD;Pasture;Argynnis aglaja;5
2156;NoPL.HRD;Pasture;Coenonympha arcania;12
2156;NoPL.HRD;Pasture;Coenonympha pamphilus;2
2156;NoPL.HRD;Pasture;Leptidea sinapis/reali;1
2156;NoPL.HRD;Pasture;Lycaena phlaeas;2
2156;NoPL.HRD;Pasture;Ochlodes sylvanus;2
2156;NoPL.HRD;Pasture;Plebejus idas;2
2156;NoPL.HRD;Pasture;Polyommatus amandus;2
2156;NoPL.HRD;Pasture;Thymelicus lineola;1
2156;NoPL.HRD;Pasture;Vanessa cardui;1
2156;NoPL.HRD;Small road;Melitaea athalia;1
2156;NoPL.HRD;Small road;Plebejus argus;2
2156;NoPL.HRD;Small road;Polyommatus amandus;1
2333;PL.LRD;Big road;Aphantopus hyperantus;1
2333;PL.LRD;Big road;Thymelicus lineola;1
2333;PL.LRD;Pasture;Aphantopus hyperantus;15
2333;PL.LRD;Pasture;Argynnis aglaja;1
2333;PL.LRD;Pasture;Argynnis paphia;4
2333;PL.LRD;Pasture;Boloria selene;1
2333;PL.LRD;Pasture;Coenonympha pamphilus;1
2333;PL.LRD;Pasture;Gonepteryx rhamni;1
2333;PL.LRD;Pasture;Inachis io;2
2333;PL.LRD;Pasture;Lasiommata maera;1
2333;PL.LRD;Pasture;Maniola jurtina;22
2333;PL.LRD;Pasture;Zygaena filipendulae;1
2333;PL.LRD;Powerline;Aphantopus hyperantus;32
2333;PL.LRD;Powerline;Argynnis aglaja;2
2333;PL.LRD;Powerline;Argynnis paphia;3
2333;PL.LRD;Powerline;Boloria selene;2
2333;PL.LRD;Powerline;Celastrina argiolus;1
2333;PL.LRD;Powerline;Coenonympha arcania;5
2333;PL.LRD;Powerline;Gonepteryx rhamni;3
2333;PL.LRD;Powerline;Inachis io;2
2333;PL.LRD;Powerline;Thymelicus lineola;4
2333;PL.LRD;Small road;Aphantopus hyperantus;4
2333;PL.LRD;Small road;Argynnis paphia;2
2333;PL.LRD;Small road;Inachis io;4
2333;PL.LRD;Small road;Maniola jurtina;1
2333;PL.LRD;Small road;Polygonia c-album;1
2844;PL.HRD;Between fields;Aglais urticae;1
2844;PL.HRD;Between fields;Aphantopus hyperantus;27
2844;PL.HRD;Between fields;Boloria selene;3
